true,pred_raw,pred_smoothed
-198.94777,-195.2680793484742,-196.39499472314571
-199.05957,-193.90143836733458,-195.88943254268014
-198.6415,-194.73848234043956,-195.6190855896395
-198.77753,-196.07349395362732,-195.64495073169027
-198.25949,-194.34933735535182,-195.34259717529847
-198.47032,-192.97073801213259,-194.82582432120992
-198.3042,-193.74286913565788,-194.53539235977723
-198.6143,-194.28888262594762,-194.39595980193064
-198.28308,-192.74395814987548,-193.98841300786134
-198.58922,-194.43963227652029,-193.96803364014787
-198.68626,-194.3575327771519,-193.94064343378366
-198.86125,-194.02257956517866,-193.85898514978746
-199.27145,-194.05563667238178,-193.800758734273
-199.05507,-197.36395373733973,-194.3847243594294
-199.91745,-196.76723546042237,-194.7741523369709
-199.37622,-194.66401344907482,-194.70990764785796
-199.55801,-193.4238141552583,-194.42177264186353
-198.89583,-196.14062063733743,-194.69459693373705
-199.40858,-196.2165624548446,-194.94447379251687
-198.49901,-198.8541432892045,-195.66073529328028
-199.45184,-197.3635844073556,-195.98963500130657
-198.42567,-199.81556454183345,-196.73565948441916
-199.3267,-199.96651236360296,-197.39941845245067
-198.54617,-200.6157192577772,-198.08608346556085
-200.13223,-201.56804651843046,-198.84852066362635
-199.61407,-201.52850931738573,-199.48577798440897
-200.17789,-203.9850860815675,-200.4891333127672
-199.74281,-204.18614509031997,-201.37501186808828
-200.3058,-203.42152758231921,-201.97540750360056
-199.5581,-202.40389522347394,-202.2828390209721
-199.48914,-202.9351757302009,-202.6340124083462
-198.99683,-201.5645578534144,-202.66105708874835
-198.9415,-200.80135464463268,-202.52698967785219
-198.95326,-199.33123041060563,-202.12181512022894
-199.15717,-199.00590445980473,-201.70390595080573
-198.8324,-198.96278300044725,-201.33022643138506
-198.88803,-197.73894484792785,-200.77134233736618
-199.19962,-200.54093890774124,-200.82070111768107
-198.88126,-198.0844289598665,-200.3911472175405
-198.62334,-198.05761749776016,-200.01504719804973
-198.28763,-200.49454998049987,-200.15384905697985
-198.79848,-199.64929016447357,-200.1090862069034
-198.38623,-201.61901984639002,-200.44247897748136
-199.12056,-201.83166438988601,-200.7646949936028
-198.85164,-203.44453273720396,-201.34280464661444
-199.40166,-201.61101672024904,-201.4837227032383
-198.91032,-200.25051192327155,-201.34064335784805
-200.5487,-199.46838300986644,-201.06524328018924
-199.86707,-200.49751438995412,-201.02173557679896
-200.57709,-199.15357042318573,-200.7259027714984
-199.8912,-198.39402909114602,-200.32624202263426
-200.64221,-197.81283250694443,-199.87276733574117
-199.65208,-198.90939652404754,-199.69320065431936
-200.13654,-198.4912120498952,-199.46045855097606
-199.23819,-202.03613724322017,-199.9357807689889
-199.10455,-202.95589845791756,-200.51654996111415
-198.97655,-201.1191570128305,-200.6623856171371
-199.97359,-201.98004126132693,-200.94864821968693
-199.7394,-201.9619564514414,-201.18739874429045
-199.35849,-201.23044733033186,-201.24954551328
-199.689,-198.67400392407336,-200.81396916714294
-199.73114,-199.2053554166232,-200.5407094579257
-200.25972,-198.2144836750798,-200.1177499221534
-199.90096,-197.5058369164459,-199.6214771515667
-200.9398,-198.6761646891335,-199.42070208185092
-200.57336,-199.0254267067887,-199.3169886848084
-201.37442,-197.58279622133162,-198.95596542118693
-201.01793,-197.75213184842855,-198.6819786548034
-201.18489,-198.72870784374766,-198.63630034507963
-200.8582,-197.28497238893235,-198.32591525277516
-201.58066,-197.41134983249313,-198.0881056136467
-201.40431,-198.0982418186679,-198.01922172551426
-201.57433,-198.17021459177744,-197.97789080394932
-200.83417,-200.13483373657215,-198.31961363287104
-200.99915,-200.537140576122,-198.69099962484916
-199.93126,-201.3760797444784,-199.16968212985176
-200.54095,-200.36373124050792,-199.3871327192958
-199.74394,-205.73848911838877,-200.59423767875498
-200.5005,-205.5093576973954,-201.5799002403245
-199.95457,-202.26847927516138,-201.80181458954203
-200.22954,-202.1862315735684,-201.97060479596178
-199.31569,-203.14876270392102,-202.29236204570486
-199.3246,-202.07440807446517,-202.3574220449823
-199.02802,-199.15974564849444,-201.85350464375742
-199.17397,-197.90992457319973,-201.18092795450661
-199.03041,-196.34833880830197,-200.3067295070698
-198.87192,-198.51469922602595,-199.97065333702585
-199.10439,-201.4305494371714,-200.23788363829794
-199.04811,-201.09398154728356,-200.40231894123838
-199.10811,-197.45579416476994,-199.85117256000296
-198.58354,-199.58430847746897,-199.7852079266628
-199.69717,-200.53741259331656,-199.91085736117637
-199.43413,-201.9134249241007,-200.2803412983027
-199.75957,-200.50116355559575,-200.3276244636171
-199.64021,-202.9030332520588,-200.82401446076955
-200.82426,-203.08458719795692,-201.28137579609648
-200.40634,-203.4083793385559,-201.7313910984438
-201.1158,-204.63588675364286,-202.34589978461275
-200.86469,-202.9913308507489,-202.55408606855002
-201.92152,-202.50443176460962,-202.63457857999475
-201.14752,-203.2525842668379,-202.84062502153455
-201.96593,-204.13960078748687,-203.18017537055803
-201.41748,-203.85820939828258,-203.4113410434876
-202.02016,-202.0813235486232,-203.2654456106732
-201.56898,-199.93260345356308,-202.72717227141158
-202.63016,-199.89062029765225,-202.25524837880818
-201.73714,-200.88784732527165,-202.03881688023554
-202.09195,-198.98900851935667,-201.4912182977182
-201.08391,-200.82398516208613,-201.37128691021414
-201.22812,-200.91340215232466,-201.28565869699986
-201.24606,-199.74805665882587,-200.99116163508484
-201.7525,-198.5366109566315,-200.51001328175408
-201.36128,-196.33128052113653,-199.6815363095609
-200.92046,-197.5988086154149,-199.21779774211308
-201.76147,-196.69942240876037,-198.65509623194902
-202.24216,-199.58147307922897,-198.72734089787326
-202.07613,-197.3608794632052,-198.372487612041
-201.51225,-197.04720281643307,-198.0153418061418
-202.61813,-197.7920938120131,-197.85790160262655
-202.14232,-198.7610354373675,-197.9138158686904
-202.71964,-196.62277800667553,-197.56130970805742
-202.16751,-198.18609597286292,-197.56342481450645
-203.2131,-200.75374289860557,-198.05921767820482
-202.65883,-199.61707112369388,-198.2717875127713
-203.11124,-199.80795708404045,-198.49369024734528
-202.47598,-203.20698736206643,-199.33238988354208
-202.83199,-202.45354511036922,-199.90732853582426
-202.05554,-203.36671210726848,-200.5719927393291
-202.65616,-203.02199296374275,-201.07282130057752
-201.98012,-206.2843963195089,-202.11784078941596
-202.75896,-206.00833485420216,-202.95352045226775
-202.19649,-204.7300250982315,-203.41809026956264
-202.45564,-206.19556881392853,-204.08596447584065
-201.75436,-205.31332214714175,-204.4804117596172
-201.8483,-203.26169344438773,-204.41843370982815
-201.10927,-206.92695107621913,-205.05306303689264
-201.27975,-205.87510686953522,-205.38600127293813
-200.83165,-200.6861011365346,-204.67466121083086
-200.9262,-201.53570281963218,-204.22001447956958
-200.90979,-200.56409115207154,-203.64030129381203
-200.4595,-201.66726250915085,-203.34957406977608
-200.34795,-202.28292696490234,-203.2142381492935
-200.69861,-201.42696161913693,-202.93266952616327
-200.42448,-199.6477817400711,-202.35149768533498
-200.39783,-202.04604450517283,-202.30938126018074
-200.6898,-204.951170649313,-202.82460755564236
-200.29117,-204.036644548554,-203.0894465267588
-200.50992,-199.86379969437974,-202.52059755128792
-200.28873,-203.48633935098601,-202.72154443734263
-201.34575,-205.53475152664225,-203.28115767755804
-201.24995,-204.560215969542,-203.57181858477438
-201.88263,-203.7159385700907,-203.65672518757154
-201.20319,-205.75337466972144,-204.11320452859223
-202.11763,-205.03756547402375,-204.36335074904778
-201.4647,-203.7349843428396,-204.32522091994153
-202.05713,-204.60675395864737,-204.45406961959793
-201.47491,-202.7756718610594,-204.21205831116842
-201.84325,-202.14125734059508,-203.88112652795118
-201.12363,-203.82518328077867,-203.91561902030654
-201.543,-202.69337324356636,-203.7276096746487
-200.93466,-203.69698282386796,-203.75566556061236
-202.18604,-202.4820295473185,-203.54696287833107
-201.13898,-202.35578212105,-203.34327736138215
-201.25928,-202.43955005952466,-203.18433304856038
-200.58955,-200.06281159307275,-202.5965600166585
-201.48724,-199.08131453378275,-201.908641935317
-201.26921,-199.98386781824408,-201.49464013946272
-201.63254,-199.85802938002104,-201.1202816583462
-202.32222,-197.34352964745685,-200.3266738166713
-201.64726,-199.8696048445251,-200.1339743106655
-201.95932,-197.82625613568075,-199.587007761459
-201.66718,-197.49138546005958,-199.0627319119759
-201.81714,-198.00001479125538,-198.71899458230263
-201.52777,-198.07705668998685,-198.44801550811582
-202.43468,-199.7664552932208,-198.54579860445762
-201.8271,-197.9312715628096,-198.288524570604
-203.24255,-197.75777915555855,-198.04359651572693
-202.73048,-199.19206043635958,-198.114860061027
-203.82826,-199.32526022434516,-198.2086634961907
-203.57898,-202.11409922871016,-198.82568965678414
-204.15018,-204.2647102237766,-199.7669810316467
-203.62518,-202.75687697681002,-200.2879160202831
-204.40955,-202.2532016693782,-200.63886466223175
-203.67284,-205.62109046741625,-201.57917530390884
-205.16122,-202.9858142262522,-201.88054358948116
-204.18011,-202.7769663216625,-202.09602350529042
-203.928,-203.85229518830775,-202.48168414992224
-203.25093,-201.48950104410105,-202.35884449505866
-203.21407,-200.62180487579846,-202.085788668132
-202.44278,-201.20016933759317,-201.95986285813908
-203.26416,-201.953391628726,-201.99337825215457
-202.93475,-201.96761804588036,-202.02282887433222
-202.74803,-199.72988374813372,-201.62096225343976
-202.39636,-201.93558015987412,-201.6956218236944
-202.59471,-200.03382066317627,-201.39716135458997
-202.70004,-199.75835308442817,-201.08943612773902
-202.43272,-202.66429395808956,-201.37899662955235
-202.83214,-202.64309044834053,-201.6223649424542
-202.6995,-205.48997866584463,-202.37060929228934
-203.30122,-200.40005205043448,-202.04079485246342
-202.99135,-202.10607282193266,-202.08138167476878
-203.76016,-202.3879034031152,-202.16805172273243
-203.6533,-202.56430283112402,-202.27396886970848
-204.09297,-201.32537956594734,-202.1272696779897
-203.13782,-202.3341865711012,-202.1920977625563
-203.32352,-203.0209783096053,-202.37651982945644
-202.27531,-205.74738679323457,-203.0503639003366
-202.58023,-205.53668986845403,-203.5831154109702
-202.42337,-204.58859300410975,-203.8540414749329
-203.44957,-208.85541831774796,-204.89153391162566
-202.94145,-206.25084896283127,-205.27667345197392
-203.36679,-204.299187135992,-205.22756248766507
-203.35501,-207.96087787366662,-205.87422009321637
-204.13911,-206.84221715492512,-206.20633379495655
-203.6151,-208.43603218404814,-206.78452958249915
-204.2601,-206.4526190551571,-206.89253470193484
-203.47243,-203.31045068296825,-206.37860770149408
-203.27052,-203.64189451884485,-205.9946195897684
